codiUp;superficieRealSol;estatUrbanisticDescription;comercialitzacio;dretPropietat;codiMunicipi;nomMunicipi;descripcioActuacio;COD_CLAS;X;Y;"Total valor cadastral
"
15;832,93;Sòl inactiu;FALSO;VERDADERO;25019;ALMACELLES;el Pla de la Creu;SNU;287723,4771;4621503,658;832,93
27068;22115,61;Sòl inactiu;FALSO;VERDADERO;8143;ÒDENA;Pla de l'Enric;SNU;387745,2057;4605086,995;22115,61
23754;93,97;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;17226;VILAMALLA;Carrer Borrassà;SUC;497579,0839;4673926,395;93,97
25327;669;Sòl edificat;FALSO;VERDADERO;8089;GAVÀ;Can n'Espinós;SUC;414556,1595;4573123,13;669
25611;1502;Sòl edificat;FALSO;VERDADERO;8012;AVINYÓ;Avinyó;;;;1502
27874;1517,01;Sòl net totalment urbanitzat;FALSO;VERDADERO;25203;SEU D'URGELL,LA;Horta de la Valira;SUD;372454,6535;4690325,48;1517,01
26840;35608,53;Sòl inactiu;FALSO;VERDADERO;8001;ABRERA;el Morral;SNU;408393,7122;4597875,828;35608,53
27661;25685,61;Sòl net totalment urbanitzat;FALSO;VERDADERO;43148;TARRAGONA;Campclar;;348771,7293;4553165,911;25685,61
28264;660;Sòl edificat;FALSO;VERDADERO;8112;MANLLEU;Plaça Llevant-Mas Roca;SUC;441059,0132;4650959,205;660
27383;566,45;Sòl inactiu;FALSO;VERDADERO;43057;FEBRÓ,LA;Mas d'en Blai (Castillejos);SNU;331600,0338;4569485,133;566,45
25401;4199,4;Sòl edificat;FALSO;VERDADERO;8169;PRAT DE LLOBREGAT,EL;Sant Cosme;SUC;423835,7973;4574512,024;4199,4
24019;3155;Sòl inactiu;FALSO;VERDADERO;8191;SALLENT;el Barri de l'Estació;SNU;408566,3509;4630111,75;3155
22971;2500;Sòl net totalment urbanitzat;FALSO;VERDADERO;25140;MONTFERRER I CASTELLBÓ;la Trobada;SUC;370232,0603;4689323,84;2500
25363;3034;Sòl edificat;FALSO;VERDADERO;8175;PUIG-REIG;la Cra.Casserres;SUC;406718,3401;4647763,086;3034
50;58;Sòl net totalment urbanitzat;FALSO;VERDADERO;25209;SORT;el Castell;;346156,6112;4697242,762;58
20328;25438,38;Sòl inactiu;FALSO;VERDADERO;43904;ALDEA,L';Pol. Industrial Catalunya Sud;SNU;297873,2524;4514648,725;25438,38
26882;462,19;Sòl inactiu;FALSO;VERDADERO;43054;ESPLUGA DE FRANCOLÍ,L';Pla de Valentí;SNU;343353,891;4584709,976;462,19
28290;2827;;FALSO;VERDADERO;43010;ALIÓ;Planes del Guardià;SNU;360499,0922;4572662,193;2827
27906;6154,55;Sòl net pendent execució obra;VERDADERO;VERDADERO;8266;CERDANYOLA DEL VALLÈS;el Centre Direccional;SUD;426301,7165;4593903,262;6154,55
27116;121437,28;Sòl inactiu;FALSO;VERDADERO;8096;GRANOLLERS;la Bòbila/Can Grau/Can Granota;SNU;441470,9168;4605297,103;121437,28
25717;356;Sòl edificat;FALSO;VERDADERO;17079;GIRONA;Sant Feliu;;;;356
23798;2699,9;Sòl inactiu;FALSO;VERDADERO;43148;TARRAGONA;Campclar;SUC;349591,2604;4554109,147;2699,9
26736;4;Sòl inactiu;FALSO;VERDADERO;25040;BALAGUER;Campllong III;;318174,7021;4627583,708;4
24670;38613,52;Sòl inactiu;FALSO;VERDADERO;43056;FATARELLA,LA;Pol. Industrial Comarcal (les Camposines);SNU;292268,8795;4553488,557;38613,52
23087;2357,53;Sòl inactiu;FALSO;VERDADERO;8009;ARGENTONA;el Cros (UAV-2);SNU;451418,5384;4598085,294;2357,53
27514;118,62;Sòl net totalment urbanitzat;FALSO;VERDADERO;8096;GRANOLLERS;les Tres Torres III;;440851,0783;4605345,205;118,62
20697;7762;Sòl inactiu;FALSO;VERDADERO;43144;SECUITA,LA;Estació TGV;SNU;354814,1043;4561401,977;7762
27666;610,23;Sòl net totalment urbanitzat;FALSO;VERDADERO;43148;TARRAGONA;Campclar;SUC;349653,4625;4554096,747;610,23
23091;820,13;Sòl inactiu;FALSO;VERDADERO;8009;ARGENTONA;el Cros (UAV-2);SNU;451271,5616;4597962,458;820,13
12025;4908,36;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Boscarró;SUD;344732,9901;4614781,668;4908,36
22816;464,33;Sòl inactiu;FALSO;VERDADERO;8285;TORELLÓ;Mas les Vinyes;SNU;439996,7995;4655423,323;464,33
25459;1687,82;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;Via Trajana;SUC;433852,9024;4586436,23;1687,82
27555;6881,68;Sòl inactiu;FALSO;VERDADERO;8113;MANRESA;Bufalvent;SUC;404154,3181;4617965,485;6881,68
22868;26,14;Sòl inactiu;FALSO;VERDADERO;43047;CONSTANTÍ;les Argiles;;351398,4468;4557441,385;26,14
27487;8897,04;Sòl net totalment urbanitzat;FALSO;VERDADERO;43161;VALLS;el Fornàs;SUD;354033,4839;4572821,042;8897,04
11200;1785;Sòl inactiu;FALSO;VERDADERO;8298;VIC;el Graell;;437005,8634;4641406,897;1785
23296;1225,13;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;17066;FIGUERES;Avinguda Costa Brava;SUD;496846,1816;4680169,619;1225,13
21148;13,13;Sòl inactiu;FALSO;VERDADERO;43903;CAMARLES;Pol. Industrial Catalunya Sud;SNU;301309,9013;4518120,635;13,13
26572;4509;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;361259,0634;4573485,359;4509
21237;25;Sòl inactiu;FALSO;VERDADERO;43156;ULLDECONA;Polígon Industrial les Mataltes;;277387,8246;4500153,627;25
23130;5221;Sòl inactiu;FALSO;VERDADERO;17005;FAR D'EMPORDÀ,EL;Estació Duanera;;498666,4895;4675902,414;5221
9734;14086,24;Sòl inactiu;FALSO;VERDADERO;17012;AVINYONET DE PUIGVENTÓS;Mas Roca i Puig Grau;SNU;494359,0024;4679477,891;14086,24
26730;4;Sòl inactiu;FALSO;VERDADERO;25040;BALAGUER;Campllong III;;318341,6572;4627551,831;4
27635;86;Sòl edificat;FALSO;VERDADERO;17046;CASTELLFOLLIT DE LA ROCA;Castellfollit;;;;86
26634;21899,75;Sòl inactiu;FALSO;FALSO;8298;VIC;el Graell;;;;21899,75
21239;25;Sòl inactiu;FALSO;VERDADERO;43156;ULLDECONA;Polígon Industrial les Mataltes;;276687,4191;4500141,456;25
25455;1737;Sòl edificat;FALSO;VERDADERO;25203;SEU D'URGELL,LA;l'Est.Transports;SUC;373150,6002;4690866,941;1737
22149;9995,4;Sòl inactiu;FALSO;VERDADERO;8250;SANTA MARGARIDA DE MONTBUI;Camí de la creu de Maginet;SNU;384542,59;4602958,64;9995,4
