codiUp;superficieRealSol;estatUrbanisticDescription;comercialitzacio;dretPropietat;codiMunicipi;nomMunicipi;descripcioActuacio;COD_CLAS;X;Y;"Total valor cadastral
"
25935;74;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;P-Alm.Cervera;;;;74
27515;105,79;Sòl net totalment urbanitzat;FALSO;VERDADERO;8096;GRANOLLERS;les Tres Torres III;;440849,4477;4605276,467;105,79
27133;1139,38;Sòl inactiu;FALSO;VERDADERO;8226;SANT MARTÍ DE TOUS;la carretera d'Igualada;SNU;377104,6051;4602653,554;1139,38
203;9842,58;Sòl inactiu;FALSO;VERDADERO;8089;GAVÀ;Marinada;SNU;416926,7141;4569337,531;9842,58
12737;1914,1;Sòl inactiu;FALSO;VERDADERO;43148;TARRAGONA;CIM del Camp Est (PPU-54);SNU;348479,004;4554675,762;1914,1
28649;2517,27;Sòl edificat;FALSO;VERDADERO;8187;SABADELL;Can Gambus-Arraona;;;;2517,27
11891;4509,97;Sòl inactiu;FALSO;VERDADERO;8298;VIC;Sector El Nadal;SNU;436959,4184;4642402,767;4509,97
17971;5965,5;Sòl inactiu;FALSO;VERDADERO;17152;ROSES;Polígon Industrial de Roses;SNU;512653,674;4681320,227;5965,5
11712;12249,14;Sòl inactiu;FALSO;VERDADERO;43010;ALIÓ;Planes del Guardià;SNU;358642,639;4573140,915;12249,14
27665;772,47;Sòl net totalment urbanitzat;FALSO;VERDADERO;43148;TARRAGONA;Campclar;SUC;349875,1914;4553571,514;772,47
24393;9784,95;Sòl inactiu;FALSO;VERDADERO;8189;SANT PERE DE SALLAVINERA;el Rentador;SNU;377579,1378;4621795,54;9784,95
24010;96;;FALSO;VERDADERO;8015;BADALONA;PII als 7 barris fronterers de la Serra d'en Mena (Badalona);SNU;435071,048;4588444,819;96
27297;3908;Sòl edificat;FALSO;VERDADERO;8169;PRAT DE LLOBREGAT,EL;Sant Cosme;;;;3908
22907;309,6;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;43060;FLIX;la Ventonella;SUD;293710,3817;4566466,197;309,6
25614;1114;Sòl edificat;FALSO;VERDADERO;25072;CERVERA;Cervera;;;;1114
25782;1265;Sòl edificat;FALSO;VERDADERO;43012;ALTAFULLA;L'Hort d'en Pau;SUC;363745,0889;4555307,143;1265
13446;75,79;Sòl inactiu;FALSO;VERDADERO;43068;GODALL;Vilallarga;SNU;285863,0437;4503459,437;75,79
22920;319,27;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;43060;FLIX;la Ventonella;SUD;293829,7301;4566347,153;319,27
8593;11752,61;Sòl inactiu;FALSO;VERDADERO;8307;VILANOVA I LA GELTRÚ;el Prat (la Millera);SNU;389588,8194;4562479,836;11752,61
24771;4175;Sòl edificat;FALSO;VERDADERO;25207;SOLSONA;Habitatges del Parc de Maquinària;SUC;376498,3054;4649878,682;4175
27188;5114,13;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;359285,019;4573639,714;5114,13
20767;122,55;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;17062;ESCALA,L';Closa del Llop;SUD;510262,6214;4662793,07;122,55
25510;910;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;Sudoest del Besòs;;;;910
23772;1721,91;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;17147;RIPOLL;Can Guetes;SUC;433491,5168;4672749,421;1721,91
23298;1327,23;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;17066;FIGUERES;Avinguda Costa Brava;SUD;496802,232;4679870,427;1327,23
23769;739,98;Sòl net totalment urbanitzat;FALSO;VERDADERO;8279;TERRASSA;Vapor Cortés;;416929,9572;4602252,102;739,98
26659;15779,27;Sòl inactiu;FALSO;VERDADERO;17066;FIGUERES;Bosc del Rei;SNU;494949,1665;4680580,232;15779,27
25754;908;Sòl edificat;FALSO;VERDADERO;8298;VIC;Vic;;;;908
27141;5875,87;Sòl inactiu;FALSO;VERDADERO;8125;MONTCADA I REIXAC;el Masrampinyo;SNU;431102,0493;4594083,745;5875,87
19011;9851,31;Sòl inactiu;FALSO;VERDADERO;25040;BALAGUER;Sector Sud de Campllong;SNU;318280,1249;4626672,722;9851,31
25842;524;Sòl edificat;FALSO;VERDADERO;8218;SANT JOAN DE VILATORRADA;Sector el Canal;SUC;400750,0058;4622527,225;524
25631;1089;Sòl edificat;FALSO;VERDADERO;43148;TARRAGONA;Campclar;SUC;349518,0003;4553323,384;1089
9784;540;Sòl net parcialment urbanitzat (falta algun servei);FALSO;VERDADERO;8181;ROCA DEL VALLÈS,LA;el Molí;SUC;445551,3461;4605487,072;540
27674;332;En construcció;FALSO;VERDADERO;8279;TERRASSA;carrer Ter núm. 1;SUC;418765,2295;4600903,303;332
24520;1906,96;Sòl inactiu;FALSO;VERDADERO;8144;OLVAN;SAE Rocarodona-Olvan;;408623,5297;4655919,088;1906,96
25811;3475;Sòl edificat;FALSO;VERDADERO;8298;VIC;Sector El Nadal;SUC;436953,474;4642174,571;3475
25841;743;Sòl edificat;FALSO;VERDADERO;8038;CALLÚS;C. Anselm Clavé;SUC;399129,5809;4626321,631;743
24124;17783;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;360850,9162;4574163,304;17783
27377;804,28;Sòl inactiu;FALSO;VERDADERO;43057;FEBRÓ,LA;Mas d'en Blai (Castillejos);SNU;331084,9414;4569717,647;804,28
5764;1854,01;Sòl inactiu;FALSO;VERDADERO;43155;TORTOSA;Pol. Industrial Catalunya Sud;SNU;297752,0002;4514933,141;1854,01
6716;1375;Sòl inactiu;FALSO;VERDADERO;17178;SANT PERE PESCADOR;Fluvià Nàutic;SNU;508704,0802;4672168,408;1375
26835;1869,29;Sòl inactiu;FALSO;VERDADERO;8001;ABRERA;el Morral;SNU;408710,0564;4598049,573;1869,29
27070;161997,63;Sòl inactiu;FALSO;VERDADERO;8143;ÒDENA;Plana dels Ametllers;SNU;382333,7625;4607885,866;161997,63
20761;160;Sòl inactiu;FALSO;VERDADERO;8191;SALLENT;el Barri de l'Estació;SNU;408464,6455;4630200,627;160
2250;2057;Sòl inactiu;FALSO;VERDADERO;25203;SEU D'URGELL,LA;la Seu Industrial;SNU;371469,611;4690089,746;2057
19009;839,55;Sòl net parcialment urbanitzat (falta algun servei);VERDADERO;VERDADERO;25048;BELL-LLOC D'URGELL;Vinyes del mig;SUD;315957,2587;4612102,344;839,55
10331;19858,24;Sòl inactiu;FALSO;VERDADERO;43108;PLA DE SANTA MARIA,EL;la Garriga Gran;SNU;359373,7496;4575846,392;19858,24
12066;1039,05;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;25072;CERVERA;l'avinguda de les Garrigues;SUC;355020,7705;4614981,493;1039,05
27738;1834;Sòl edificat;FALSO;VERDADERO;8298;VIC;Habitatges del Parc de Maquinària;SUC;438399,9082;4643308,083;1834
26705;4;Sòl inactiu;FALSO;VERDADERO;43013;AMETLLA DE MAR,L';les Ribes Altes;;314549,8831;4527595,717;4
13745;58399,36;Sòl inactiu;FALSO;VERDADERO;43155;TORTOSA;Pol. Industrial Catalunya Sud;SNU;297452,7818;4515910,915;58399,36
24713;25;Sòl inactiu;FALSO;VERDADERO;43156;ULLDECONA;Polígon Industrial les Mataltes;;276493,7425;4500289,104;25
24514;146724,63;Sòl inactiu;FALSO;VERDADERO;17047;CASTELLÓ D'EMPÚRIES;Torre Mornau;SNU;508016,4062;4681242,332;146724,63
27425;674,17;Sòl net totalment urbanitzat;FALSO;VERDADERO;43093;MÓRA D'EBRE;la Democràcia;SUC;301677,2718;4551609,566;674,17
22242;14165,84;Sòl inactiu;FALSO;VERDADERO;43155;TORTOSA;Pol. Industrial Catalunya Sud;SNU;297833,1828;4515023,853;14165,84
6762;182;Sòl net totalment urbanitzat;FALSO;VERDADERO;8101;HOSPITALET DE LLOBREGAT,L';el carrer Campoamor;;425990,8809;4578748,832;182
25573;1694;Sòl edificat;FALSO;VERDADERO;8191;SALLENT;les Culleres;SUC;408371,8736;4630635,315;1694
47;61;Sòl net totalment urbanitzat;FALSO;VERDADERO;25209;SORT;el Castell;;346115,8416;4697208,087;61
27090;3303,38;Sòl inactiu;FALSO;VERDADERO;43005;ALCOVER;els Trossos;SNU;347068,2646;4569738,935;3303,38
12059;2597,61;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Boscarró;SUD;344982,4019;4614340,147;2597,61
1150;3953,57;Sòl inactiu;FALSO;VERDADERO;8305;VILAFRANCA DEL PENEDÈS;les Bassetes;SNU;392146,8312;4579069,979;3953,57
25444;850;Sòl edificat;FALSO;VERDADERO;8015;BADALONA;el c/ d'A.March;SUC;436091,1309;4588600,391;850
20700;676;;FALSO;VERDADERO;8170;PRATS DE REI,ELS;Pg. Josep Ma. Llobet;SNU;378538,5641;4618055,638;676
24780;5412,8;Sòl inactiu;FALSO;VERDADERO;17208;VALL DE BIANYA,LA;Morrals II (UD2);;;;5412,8
9785;441;Sòl net parcialment urbanitzat (falta algun servei);FALSO;VERDADERO;8181;ROCA DEL VALLÈS,LA;el Molí;SUC;445565,0019;4605474,315;441
25347;2338;Sòl edificat;FALSO;VERDADERO;17095;LLORET DE MAR;Rivalaigua;SUC;486862,5183;4617456,865;2338
11204;1000;Sòl inactiu;FALSO;VERDADERO;8298;VIC;el Graell;;437049,759;4641487,262;1000
4439;675,5;;FALSO;VERDADERO;8213;SANT FRUITÓS DE BAGES;Sant Fruitós;;;;675,5
11865;47197,64;Sòl inactiu;FALSO;VERDADERO;43904;ALDEA,L';lo Bordar;SNU;298218,0397;4515861,362;47197,64
23103;6,25;Sòl inactiu;FALSO;VERDADERO;17018;BELLCAIRE D'EMPORDÀ;Closa del Llop;;509533,8901;4660560,873;6,25
24380;51534,99;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;Plans d'Ofegat;SNU;346814,4051;4614322,382;51534,99
7852;771,49;Sòl inactiu;FALSO;VERDADERO;8214;VILASSAR DE DALT;la Fornaca;SNU;447461,8273;4596394,66;771,49
20599;16;Sòl inactiu;FALSO;VERDADERO;8063;CASTELLOLI;Can Parera;;389187,8501;4603897,667;16
26900;25390,93;Sòl inactiu;FALSO;VERDADERO;43054;ESPLUGA DE FRANCOLÍ,L';Pla de Valentí;SNU;343539,6368;4585113,409;25390,93
25337;1639,81;Sòl edificat;FALSO;VERDADERO;8101;HOSPITALET DE LLOBREGAT,L';Gornal;SUC;426354,0753;4579050,352;1639,81
25829;1754;Sòl edificat;FALSO;VERDADERO;8113;MANRESA;el Barri de l'Estació;;;;1754
4940;2044,82;Sòl edificat;FALSO;VERDADERO;8015;BADALONA;el Pomar;;437474,6324;4590838,803;2044,82
24694;25;Sòl inactiu;FALSO;VERDADERO;43044;SÉNIA,LA;Polígon Industrial les Mataltes;;274940,6612;4501983,587;25
11842;2778,93;Sòl inactiu;FALSO;VERDADERO;43064;GANDESA;la Plana;SNU;285876,3281;4547177,811;2778,93
25675;2216;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;P-Barceloneta;;;;2216
12384;4486,4;Sòl inactiu;FALSO;VERDADERO;8135;MONTMELÓ;Can Gurgui;SNU;436584,2928;4600255,306;4486,4
23419;16;Sòl inactiu;FALSO;VERDADERO;43162;VANDELLÒS I L'HOSPITALET DE L'INFANT;les Tàpies II;;323812,9562;4540570,562;16
8585;8575,22;Sòl inactiu;FALSO;VERDADERO;43054;ESPLUGA DE FRANCOLÍ,L';Pla de Valentí;SNU;342632,8742;4584986,428;8575,22
28646;17451,13;En gestió urbanística;FALSO;VERDADERO;8112;MANLLEU;la Coromina Nord;SNU;440858,1132;4651313,549;17451,13
26994;16;Sòl inactiu;FALSO;VERDADERO;43022;BATEA;Vall de Vinyes;;273526,7703;4552319,773;16
9564;54,71;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;8164;PLA DEL PENEDÈS,EL;el Torrent Gran (UA5);SUC;392402,1395;4586014,125;54,71
15984;3901,33;Sòl inactiu;FALSO;VERDADERO;17165;SANT JAUME DE LLIERCA;Can Coma (SAU 4);SNU;465997,5337;4673547,628;3901,33
25655;1264;Sòl edificat;FALSO;VERDADERO;25059;BOSSÒST;Bossost;;;;1264
27413;65,86;Sòl inactiu;FALSO;VERDADERO;8169;PRAT DE LLOBREGAT,EL;Polígon industrial Pratense;SNU;426059,5006;4574820,765;65,86
223;550;Sòl inactiu;FALSO;VERDADERO;25140;MONTFERRER I CASTELLBÓ;Sector Industrial;SNU;370121,0935;4688804,42;550
23336;6053;Sòl inactiu;FALSO;VERDADERO;43148;TARRAGONA;Ampliació Riuclar;SNU;351044,2871;4554678,795;6053
25804;2915;Sòl edificat;FALSO;VERDADERO;8001;ABRERA;Can Morral, 1a.fase;SUC;408594,0385;4597520,962;2915
22237;25;Sòl inactiu;FALSO;VERDADERO;43904;ALDEA,L';Pol. Industrial Catalunya Sud;SNU;298449,3263;4515234,525;25
12078;2811,62;;FALSO;VERDADERO;8101;HOSPITALET DE LLOBREGAT,L';Josep Tarradellas-Isabel Catolica;;425190,4841;4579461,42;2811,62
23991;3629,88;Sòl inactiu;FALSO;VERDADERO;43055;FALSET;Camí de Sant Gregori;SNU;317395,3109;4556871,861;3629,88
24403;296,96;Sòl inactiu;FALSO;VERDADERO;8189;SANT PERE DE SALLAVINERA;el Rentador;SNU;377271,9566;4621568,462;296,96
13106;301;Sòl net totalment urbanitzat;FALSO;VERDADERO;43123;REUS;el Carme PAU-12, 13, 14, 15 i 16;SNU;341141,2919;4557467,196;301
27496;249,99;Sòl net totalment urbanitzat;FALSO;VERDADERO;8096;GRANOLLERS;les Tres Torres III;;440629,2795;4605233,878;249,99
6075;372,87;;FALSO;VERDADERO;25209;SORT;6 Hab a l'Espai Exterior de la Nova Seu del Consel;;;;372,87
12917;48919,94;Sòl inactiu;FALSO;VERDADERO;43904;ALDEA,L';lo Bordar;SNU;298373,3397;4515861,038;48919,94
20600;16;Sòl inactiu;FALSO;VERDADERO;8302;VILANOVA DEL CAMÍ;Can Parera;;389229,0767;4604060,928;16
27662;10892,36;Sòl net totalment urbanitzat;FALSO;VERDADERO;43148;TARRAGONA;Campclar;SNU;349013,922;4553360,261;10892,36
9786;191;Sòl net parcialment urbanitzat (falta algun servei);FALSO;VERDADERO;8181;ROCA DEL VALLÈS,LA;el Molí;SUC;445574,1777;4605455,021;191
25409;816;Sòl edificat;FALSO;VERDADERO;8015;BADALONA;Barri Sant Roc;SUC;435482,8687;4587569,111;816
27617;202;Sòl edificat;FALSO;VERDADERO;8015;BADALONA;Barri Sant Roc;;;;202
23348;6833;Sòl inactiu;FALSO;VERDADERO;43148;TARRAGONA;Ampliació Riuclar;SNU;350995,0905;4555013,73;6833
25518;281;Sòl edificat;FALSO;VERDADERO;8127;MONISTROL DE MONTSERRAT;el carrer Manresa;SUC;403666,1068;4607306,982;281
27157;1548,56;Sòl inactiu;FALSO;VERDADERO;43904;ALDEA,L';Estació Mercaderies;SNU;299017,455;4514675,267;1548,56
27466;5553,46;Sòl inactiu;FALSO;VERDADERO;8089;GAVÀ;el Camí Ral;;415550,6613;4570494,066;5553,46
256;106,57;Sòl net totalment urbanitzat;FALSO;VERDADERO;25120;LLEIDA;Carretera de Corbins (UA 36bis);;302672,4016;4610862,972;106,57
25326;689;Sòl edificat;FALSO;VERDADERO;8089;GAVÀ;Can n'Espinós;SUC;414578,8421;4573148,276;689
26707;759,93;Sòl inactiu;FALSO;VERDADERO;25004;ALAMÚS,ELS;la Serreta;SNU;310853,6115;4610212,443;759,93
26828;8451;Sòl inactiu;FALSO;VERDADERO;25120;LLEIDA;el Mercat Abast.Hortofructícola;SNU;303591,3555;4606728,01;8451
240;114080,85;Sòl inactiu;FALSO;VERDADERO;8184;RUBÍ;Sector E;SNU;417342,671;4593986,599;114080,85
5284;9;Sòl inactiu;FALSO;VERDADERO;8236;SANT QUINTÍ DE MEDIONA;els Vinyets;;389619,2293;4590916,813;9
3439;5825;Sòl edificat;FALSO;VERDADERO;8056;CASTELLDEFELS;el Canal Piragüisme;SNU;415537,9153;4570259,428;5825
17905;13534,34;En gestió urbanística;FALSO;VERDADERO;43155;TORTOSA;Pol. Industrial Catalunya Sud;;297061,8577;4514945,78;13534,34
23047;868,25;Sòl inactiu;FALSO;VERDADERO;8301;VILADECANS;Ca l'Alemany;;418571,6843;4573186,291;868,25
27072;335;Sòl inactiu;FALSO;VERDADERO;8143;ÒDENA;Plana dels Ametllers;SNU;382167,2365;4607825,887;335
2077;728,85;Sòl net totalment urbanitzat;FALSO;VERDADERO;8135;MONTMELÓ;la Quintana de Dalt;;436587,77;4600105,954;728,85
27339;324,78;Sòl inactiu;FALSO;VERDADERO;8244;SANTA COLOMA DE CERVELLÓ;Colònia Güell;SNU;418793,4328;4579339,662;324,78
27149;2052,69;Sòl inactiu;FALSO;VERDADERO;8114;MARTORELL;la Vila;SNU;408888,1815;4592801,192;2052,69
1172;408;Sòl net totalment urbanitzat;FALSO;VERDADERO;8305;VILAFRANCA DEL PENEDÈS;l'Estació;SNU;391618,3828;4578013,361;408
25755;779;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;C. Encarnació, 181-189;SUC;430377,1943;4584712,775;779
165;1929,24;Sòl inactiu;FALSO;VERDADERO;43901;DELTEBRE;el passeig Fluvial;SNU;307151,4344;4509604,793;1929,24
27187;7603,62;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;359371,6342;4573683,621;7603,62
25870;703,56;Sòl edificat;FALSO;VERDADERO;43136;SANT CARLES DE LA RÀPITA;UA-Aiguassera+C.St.Sebastià;SUC;295605,4461;4498653,108;703,56
3456;2456;Sòl edificat;FALSO;VERDADERO;8056;CASTELLDEFELS;el Canal Piragüisme;SNU;415465,2934;4570212,338;2456
20485;225171,8;Sòl inactiu;FALSO;VERDADERO;8124;MOLLET DEL VALLÈS;Gallecs;SNU;434695,9854;4600657,432;225171,8
11861;142,84;Sòl net totalment urbanitzat;FALSO;VERDADERO;43094;MÓRA LA NOVA;Sector 10;SUD;303101,1997;4552601,055;142,84
24770;10394;Sòl edificat;FALSO;VERDADERO;8301;VILADECANS;Habitatges del Parc de Maquinària;;;;10394
129;8868,71;Sòl inactiu;FALSO;VERDADERO;43161;VALLS;Can Veciana;SNU;354839,1474;4572869,042;8868,71
27574;3113;Sòl inactiu;FALSO;FALSO;8169;PRAT DE LLOBREGAT,EL;Eixample Nord;;;;3113
27910;8159,74;Sòl net pendent execució obra;VERDADERO;VERDADERO;8266;CERDANYOLA DEL VALLÈS;el Centre Direccional;SUD;426456,8469;4594244,918;8159,74
115;30085;Sòl net parcialment urbanitzat (falta algun servei);FALSO;VERDADERO;43161;VALLS;el Palau de Reig;SUD;354675,6025;4575642,313;30085
24510;4566,68;Sòl inactiu;FALSO;VERDADERO;17047;CASTELLÓ D'EMPÚRIES;Torre Mornau;SNU;508424,0514;4680539,768;4566,68
4629;480,03;Sòl net totalment urbanitzat;FALSO;VERDADERO;8135;MONTMELÓ;UA - Sant Crist de la Grua;;436609,9458;4600135,161;480,03
27453;2895,58;Sòl inactiu;FALSO;VERDADERO;8260;SANTA PERPÈTUA DE MOGODA;Gallecs la Creueta;SUC;433772,6935;4597971,759;2895,58
277;2837;Sòl inactiu;FALSO;VERDADERO;8056;CASTELLDEFELS;Campus Universitari;SNU;414652,4711;4570068,062;2837
55;2264,73;Sòl inactiu;FALSO;VERDADERO;43117;PRAT DE COMTE;Mare de Déu de Fontcalda;SNU;281760,6746;4540242,59;2264,73
11864;218,36;Sòl net totalment urbanitzat;FALSO;VERDADERO;43094;MÓRA LA NOVA;Sector 10;SUD;303081,3864;4552587,659;218,36
2076;1241,23;Sòl net totalment urbanitzat;FALSO;VERDADERO;8135;MONTMELÓ;la Quintana de Dalt;;436646,1734;4600181,852;1241,23
25428;9523;Sòl edificat;FALSO;VERDADERO;8127;MONISTROL DE MONTSERRAT;Monistrol;SUC;404150,3192;4606720,978;9523
27036;20736,84;Sòl inactiu;FALSO;VERDADERO;8175;PUIG-REIG;Can Vidal;SNU;407112,187;4643628,935;20736,84
25569;241;Sòl edificat;FALSO;VERDADERO;8067;CENTELLES;el carrer Nou, 11;;;;241
22938;2944,96;Sòl net totalment urbanitzat;FALSO;VERDADERO;43060;FLIX;la Ventonella;SUC;293659,3475;4566578,809;2944,96
25032;81;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;el Carmel 3;SUC;429412,178;4586248,343;81
1058;1052,28;Sòl inactiu;FALSO;VERDADERO;8012;AVINYÓ;el Soler;SNU;414476,0602;4632770,083;1052,28
24739;12,5;Sòl inactiu;FALSO;VERDADERO;43156;ULLDECONA;Polígon Industrial les Mataltes;;275831,6353;4500898,88;12,5
25300;2591;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;el c/ Nou de la Rambla / S.Ramon;SUC;430753,2114;4580987,947;2591
25341;2568;Sòl edificat;FALSO;VERDADERO;8102;IGUALADA;les Comes;SUC;384627,3652;4605387,103;2568
12051;2788,48;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Boscarró;SUD;345011,5994;4614607,654;2788,48
27326;2212,71;Sòl inactiu;FALSO;VERDADERO;8205;SANT CUGAT DEL VALLÈS;Can Graells;SNU;422147,8402;4593603,458;2212,71
27934;5187,46;Sòl net pendent execució obra;VERDADERO;VERDADERO;8266;CERDANYOLA DEL VALLÈS;el Centre Direccional;SUD;426639,1602;4594234,723;5187,46
25798;1785;Sòl edificat;FALSO;VERDADERO;8020;BEGUES;C. Sant Pere;SUC;409592,3887;4576342,462;1785
25511;98,05;Sòl edificat;FALSO;VERDADERO;25217;TÀRREGA;Travessia del carrer de la Cendra s/n;;;;98,05
9825;2562,1;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;43020;BANYERES DEL PENEDÈS;Camí de l'Arboç;SUC;381378,846;4570409,59;2562,1
25392;6071;Sòl edificat;FALSO;VERDADERO;8307;VILANOVA I LA GELTRÚ;Aiguacuit;SUC;392193,8212;4564407,896;6071
26654;22727,53;Sòl inactiu;FALSO;VERDADERO;43047;CONSTANTÍ;Sant Ramon;SNU;345753,6908;4559155,022;22727,53
18207;598;Sòl net totalment urbanitzat;FALSO;VERDADERO;43123;REUS;el Carme PAU-12, 13, 14, 15 i 16;SNU;341155,9031;4557474,15;598
22203;57;Sòl net totalment urbanitzat;FALSO;VERDADERO;25058;BORGES BLANQUES,LES;Parcel·les al Polígon Borges Blanques 104;;321740,6611;4599001,739;57
12369;251,89;Sòl net parcialment urbanitzat (falta algun servei);FALSO;VERDADERO;43032;BOT;les Forques;SNU;279889,3377;4543459,56;251,89
12027;4607,2;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Boscarró;SUD;344842,6949;4614807,285;4607,2
23342;2236;Sòl inactiu;FALSO;VERDADERO;43148;TARRAGONA;Ampliació Riuclar;SNU;351264,3616;4555138,882;2236
24507;32367,49;Sòl inactiu;FALSO;VERDADERO;17047;CASTELLÓ D'EMPÚRIES;Torre Mornau;SNU;508260,4928;4680964,997;32367,49
198;1408,27;Sòl inactiu;FALSO;VERDADERO;43901;DELTEBRE;el passeig Fluvial;SNU;307866,9378;4509408,73;1408,27
26673;27,08;Sòl inactiu;FALSO;VERDADERO;43094;MÓRA LA NOVA;el Molló;;303266,8939;4548908,701;27,08
25740;2294;Sòl edificat;FALSO;VERDADERO;43171;VILA-SECA;c/ Valentí Almirall - c/.Vent;;;;2294
26863;2302,66;Sòl inactiu;FALSO;VERDADERO;17002;AIGUAVIVA;Nou sector industrial (entorn aeroport);SNU;481986,7072;4640634,829;2302,66
2568;119,92;Sòl net totalment urbanitzat;FALSO;VERDADERO;8101;HOSPITALET DE LLOBREGAT,L';el carrer Campoamor;;425870,1585;4578898,427;119,92
9740;1580,7;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;17092;LLANçÀ;Guifré / Jofra / Esplanes;SUD;512403,4349;4689743,191;1580,7
25741;456,25;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;Governador;SUC;431071,4844;4588372,862;456,25
25370;2972;Sòl edificat;FALSO;VERDADERO;8184;RUBÍ;Cra.Molins Rei;;;;2972
26968;137395,87;Sòl inactiu;FALSO;VERDADERO;43108;PLA DE SANTA MARIA,EL;la Garriga Gran;SNU;357477,2896;4576424,942;137395,87
4927;75;Sòl net totalment urbanitzat;FALSO;VERDADERO;8113;MANRESA;el Joc de la Pilota;;402461,3932;4619836,483;75
23080;7162,4;Sòl inactiu;FALSO;VERDADERO;43161;VALLS;Ruanes;SNU;354284,1673;4572043,548;7162,4
25662;666,25;Sòl edificat;FALSO;VERDADERO;25072;CERVERA;el carrer Major (Cal Codina);SUC;356103,2891;4614120,915;666,25
25952;171;Sòl edificat;FALSO;VERDADERO;8014;AIGUAFREDA;Habitatges a Can Llaudet;SUC;437504,8292;4625467,217;171
24540;6245,13;Sòl inactiu;FALSO;VERDADERO;17012;AVINYONET DE PUIGVENTÓS;Mas Roca i Puig Grau;SNU;494542,399;4678796,665;6245,13
25806;3175,87;Sòl edificat;FALSO;VERDADERO;17066;FIGUERES;Sector Rec Susanna;SUC;496181,5883;4678645,243;3175,87
20605;4;Sòl inactiu;FALSO;VERDADERO;25040;BALAGUER;Campllong III;;318497,3409;4627436,399;4
9272;220,72;Sòl net totalment urbanitzat;FALSO;VERDADERO;8113;MANRESA;Francesc Macià;SNC;403048,2317;4619946,004;220,72
23029;525;Sòl net totalment urbanitzat;FALSO;VERDADERO;8019;BARCELONA;Parcel:les el Polvorí;;428184,3179;4579595,493;525
24371;54340,77;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;Plans d'Ofegat;SNU;346978,0087;4613647,974;54340,77
25039;201;Sòl edificat;FALSO;VERDADERO;8015;BADALONA;Barri Sant Roc;SUC;435500,1039;4587415,55;201
265;317;Sòl inactiu;FALSO;VERDADERO;25139;MONTELLÀ I MARTINET;La Fàbrica;SNU;392520,9646;4690448,098;317
26694;162506,81;Sòl inactiu;FALSO;VERDADERO;43047;CONSTANTÍ;Sant Ramon;SNU;346283,3848;4560167,588;162506,81
24004;9841,91;Sòl inactiu;FALSO;VERDADERO;43904;ALDEA,L';Estació Mercaderies;SNU;298941,3912;4514725,092;9841,91
4954;287,6;Sòl edificat;FALSO;VERDADERO;8096;GRANOLLERS;Sector Z;SUC;440555,6238;4604971,777;287,6
27110;3631,28;Sòl inactiu;FALSO;VERDADERO;8250;SANTA MARGARIDA DE MONTBUI;Camí de la creu de Maginet;SNU;384650,628;4603037,037;3631,28
13110;47,06;Sòl inactiu;FALSO;VERDADERO;43068;GODALL;Vilallarga;SNU;285904,8137;4503484,508;47,06
27837;1754;Sòl net pendent execució obra;FALSO;VERDADERO;8301;VILADECANS;P.P. Sector Llevant;SUD;418392,295;4575126,163;1754
26949;27263,49;Sòl inactiu;FALSO;VERDADERO;43108;PLA DE SANTA MARIA,EL;la Garriga Gran;SNU;357436,3037;4577615,36;27263,49
24726;3234,51;Sòl inactiu;FALSO;VERDADERO;8262;SANT VICENÇ DE CASTELLET;el Pla del Camí;SNU;404394,0704;4613679,313;3234,51
15306;3542,07;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;361196,8455;4573834,404;3542,07
285;153467;Sòl inactiu;FALSO;VERDADERO;43155;TORTOSA;Pol. Industrial Catalunya Sud;SNU;296814,6943;4514839,85;153467
24003;13153,95;Sòl inactiu;FALSO;VERDADERO;43904;ALDEA,L';Estació Mercaderies;SNU;298946,5543;4514500,666;13153,95
25406;291;Sòl edificat;FALSO;VERDADERO;25120;LLEIDA;Gairoles;;;;291
